"category_id","category_title"
"1","Nationalities and countries"
"2","News, lifestyles and current affairs"
"3","Education"
"4","Ways of travelling"
"5","Travel"
"6","Shopping"
"7","Health and body care"
"8","Travel and services vocab"
"9","Things in the town, shops and shopping"
"10","Services"
"11","Work and jobs"
"12","Personal identification"
"13","Personal information"
"14","Hobbies and pastimes"
"15","Free time, entertainment"
"16","Leisure activities"
"17","Film"
"18","Media"
"19","Collocation"
"20","Language"
"21","Books and literature"
"22","Food and drink"
"23","Objects and rooms"
"24","Daily life"
"25","Relations with other people"
"26","Family life"
"27","Places"
"28","House and home, environment"
"29","Arts"
"30","Idiomatic expressions"
"31","Clothes"
"32","Holidays"
"33","Colours"
"34","Scientific development"
"35","Weather"
"36","Technical and legal language"
"37","Dimensions"
"38","Adjectives: personality, description, feelings"
"39","Hobbies and lifestyles"
